studiengang,hochschule,modul_id,modulname,satz_nr,satz,typ,taxonomie,konfidenz,split
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1239,Food Hygiene,4,"Ferner bewerten die Studierenden Geschäftskonzepte, vergleichen Entwicklungsstrategien und empfehlen Managementstrategien.",K,5,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1239,Food Hygiene,5,In Gruppendiskussionen und -arbeiten praktizieren die Studierenden ihre Fähigkeit zu respektvollem Umgang miteinander.,K,3,0.70,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1239,Food Hygiene,6,"Sie sind in der Lage, sich in eine Gruppe einzugliedern, eigene Meinungen einzubringen und zu vertreten.",K,3,0.70,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1239,Food Hygiene,7,"Sie üben, ihr gemeinsames Handeln zu koordinieren und organisieren, und werden sich alternativer Beitragsmöglichkeiten zu tragfähigen Lösungen bewusst.",K,3,0.65,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1052,Produktentwicklung,1,Die Studierenden sollen die theoretischen Grundlagen im Prozess der Produktentwicklung von Lebensmitteln sowie die wichtigsten Aspekte der Produktentwicklung kennen.,K,1,0.85,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1052,Produktentwicklung,2,"Die Studierenden erlangen Kenntnisse zur Ideenfindung, Planung und Durchführung einer Produktentwicklung am Beispiel eines Lebensmittels.",K,1,0.70,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1052,Produktentwicklung,3,"Die Studierenden sind in der Lage, diese Kenntnisse in Teamarbeit in die Praxis umzusetzen.",K,3,0.85,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1052,Produktentwicklung,4,Die Studierenden können die entsprechenden Prozesse und Aufgaben in den Rahmen des Innovationsmanagements einordnen.,K,4,0.85,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1259,Product Development,1,Die Studierenden sollen die theoretischen Grundlagen im Prozess der Produktentwicklung von Lebensmitteln sowie die wichtigsten Aspekte der Produktentwicklung kennen.,K,1,0.85,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1259,Product Development,2,"Die Studierenden erlangen Kenntnisse zur Ideenfindung, Planung und Durchführung einer Produktentwicklung am Beispiel eines Lebensmittels.",K,1,0.70,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1259,Product Development,3,"Die Studierenden sind in der Lage, diese Kenntnisse in Teamarbeit in die Praxis umzusetzen.",K,3,0.85,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1259,Product Development,4,Die Studierenden können die entsprechenden Prozesse und Aufgaben in den Rahmen des Innovationsmanagements einordnen.,K,4,0.85,test
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1023,Lebensmittelrecht,1,Die Studierenden kennen Struktur und Prinzipien des europäischen und nationalen Lebensmittelrechtes.,K,1,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1023,Lebensmittelrecht,2,Die Studierenden können ihre Kenntnisse auf konkrete Fallbeispiele aus der beruflichen Praxis anwenden.,K,3,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1023,Lebensmittelrecht,3,"Die Studierenden erreichen ein Verständnis für Dynamik und Veränderungsprinzipien der gesetzlichen Normen und sind dadurch in der Lage, zukünftige Änderungen der Gesetzgebung zu antizipieren und in den beruflichen Alltag zu integrieren.",K,3,0.70,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1023,Lebensmittelrecht,4,Die Studierenden erreichen ein allgemeines Grundverständnis für juristische Fragestellungen.,K,2,0.80,test
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1023,Lebensmittelrecht,5,Die Studierenden lernen durch die vielfältigen Themenstellungen im Lebensmittelrecht fachübergreifend zu argumentieren.,K,3,0.75,test
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1249,Food Law,1,Die Studierenden kennen Struktur und Prinzipien des europäischen und nationalen Lebensmittelrechtes.,K,1,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1249,Food Law,2,Die Studierenden können ihre Kenntnisse auf konkrete Fallbeispiele aus der beruflichen Praxis anwenden.,K,3,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1249,Food Law,3,"Die Studierenden erreichen ein Verständnis für Dynamik und Veränderungsprinzipien der gesetzlichen Normen und sind dadurch in der Lage, zukünftige Änderungen der Gesetzgebung zu antizipieren und in den beruflichen Alltag zu integrieren.",K,3,0.70,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1249,Food Law,4,Die Studierenden erreichen ein allgemeines Grundverständnis für juristische Fragestellungen.,K,2,0.80,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1249,Food Law,5,Die Studierenden lernen durch die vielfältigen Themenstellungen im Lebensmittelrecht fachübergreifend zu argumentieren.,K,3,0.75,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1034,Qualitätsmanagement (LT),1,Die Studierenden kennen die Grundlagen des Qualitätsmanagements in Unternehmen allgemein und insbesondere in der Lebensmittelindustrie,K,1,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1034,Qualitätsmanagement (LT),2,Die Studierenden kennen die verschiedenen rechtlichen Normen sowie (über-)regionale Verantwortungsträger/institutionen im Kontext von Lebensmittelsicherheit und -qualität,K,1,0.90,test
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1034,Qualitätsmanagement (LT),3,Die Studierenden können verschiedene Vorgehensweisen und Instrumente zur Sicherung der Lebensmittelqualität in lebensmittelbezogenen Fallsituationen zielgerichtet anwenden,K,3,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1034,Qualitätsmanagement (LT),4,Die Studierenden können Einsatzmöglichkeiten und Reichweite von Eigenkontrollsystemen und Q-Zertifikaten beurteilen und umsetzen,K,5,0.80,test
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1034,Qualitätsmanagement (LT),5,Die Studierenden können Maßnahmen zur Sicherung der Lebensmittelintegrität (insb. zur Vermeidung von Food Fraud und Food Defense) ergreifen •,K,3,0.80,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1251,Quality Management (FT),1,Die Studierenden kennen die Grundlagen des Qualitätsmanagements in Unternehmen allgemein und insbesondere in der Lebensmittelindustrie,K,1,0.90,test
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1251,Quality Management (FT),2,Die Studierenden kennen die verschiedenen rechtlichen Normen sowie (über-)regionale Verantwortungsträger/institutionen im Kontext von Lebensmittelsicherheit und -qualität,K,1,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1251,Quality Management (FT),3,Die Studierenden können verschiedene Vorgehensweisen und Instrumente zur Sicherung der Lebensmittelqualität in lebensmittelbezogenen Fallsituationen zielgerichtet anwenden,K,3,0.90,test
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1251,Quality Management (FT),4,Die Studierenden können Einsatzmöglichkeiten und Reichweite von Eigenkontrollsystemen und Q-Zertifikaten beurteilen und umsetzen,K,5,0.80,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1251,Quality Management (FT),5,Die Studierenden können Maßnahmen zur Sicherung der Lebensmittelintegrität (insb. zur Vermeidung von Food Fraud und Food Defense) ergreifen •,K,3,0.80,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1306,Angewandte Biotechnologie,1,"Die Studierenden kennen die Grundlagen und verschiedenen Anwendungsgebiete der Biotechnologie, sowie die Besonderheiten und Probleme bei biotechnologischen Prozessen",K,1,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1306,Angewandte Biotechnologie,2,Die Studierenden erwerben grundlegende Kenntnisse über biotechnische Produktionsverfahren und Anwendungsgebiete technischer Enzyme.,K,1,0.85,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1306,Angewandte Biotechnologie,3,"Die Studierenden kennen und verstehen die Prinzipien der Fermentation, deren Regelung und der Produktaufarbeitung bei biotechnologischen Prozessen sowie deren praktische Anwendung",K,2,0.85,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1307,Applied Biotechnology,1,"Die Studierenden kennen die Grundlagen und verschiedenen Anwendungsgebiete der Biotechnologie, sowie die Besonderheiten und Probleme bei biotechnologischen Prozessen",K,1,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1307,Applied Biotechnology,2,Die Studierenden erwerben grundlegende Kenntnisse über biotechnische Produktionsverfahren und Anwendungsgebiete technischer Enzyme.,K,1,0.85,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1307,Applied Biotechnology,3,"Die Studierenden kennen und verstehen die Prinzipien der Fermentation, deren Regelung und der Produktaufarbeitung bei biotechnologischen Prozessen sowie deren praktische Anwendung",K,2,0.85,test
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1310,Angewandte Mikrobiologie und Betriebshygiene,1,Die Studierenden kennen wichtige mikrobielle Produktionsorganismen,K,1,0.95,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1310,Angewandte Mikrobiologie und Betriebshygiene,2,"Die Studierenden kennen Methoden zum „Bioprospecting“ für neue mikrobiologische Ressourcen (Organismen, Enzyme, bioaktive Moleküle)",K,1,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1310,Angewandte Mikrobiologie und Betriebshygiene,3,Die Studierenden können Desinfektions- und Sterilisationstechniken beurteilen und anwenden.,K,5,0.80,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1310,Angewandte Mikrobiologie und Betriebshygiene,4,Die Studierenden können Hygienepläne und HACCP-Konzepte (Hazard Analysis and Critical Control Points) selbstständig erstellen und bewerten.,K,6,0.85,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1310,Angewandte Mikrobiologie und Betriebshygiene,5,"Die Studierenden kennen mikrobielle, molekulare und immunologische Nachweismethoden für mikrobielle Kontaminanten und assoziierte Stoffkontaminanten (LPS, Toxine).",K,1,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1310,Angewandte Mikrobiologie und Betriebshygiene,6,Die Studierenden erreichen durch die Arbeit im Labor ein Verständnis für die mikrobiologische Analytik sowie praktische Kompetenz für den späteren Berufsalltag.,K,2,0.70,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1311,Applied Microbiology and Industrial Hygiene,1,Die Studierenden kennen wichtige mikrobielle Produktionsorganismen,K,1,0.95,test
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1311,Applied Microbiology and Industrial Hygiene,2,"Die Studierenden kennen Methoden zum „Bioprospecting“ für neue mikrobiologische Ressourcen (Organismen, Enzyme, bioaktive Moleküle)",K,1,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1311,Applied Microbiology and Industrial Hygiene,3,Die Studierenden können Desinfektions- und Sterilisationstechniken beurteilen und anwenden.,K,5,0.80,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1311,Applied Microbiology and Industrial Hygiene,4,Die Studierenden können Hygienepläne und HACCP-Konzepte (Hazard Analysis and Critical Control Points) selbstständig erstellen und bewerten.,K,6,0.85,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1311,Applied Microbiology and Industrial Hygiene,5,"Die Studierenden kennen mikrobielle, molekulare und immunologische Nachweismethoden für mikrobielle Kontaminanten und assoziierte Stoffkontaminanten (LPS, Toxine).",K,1,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1311,Applied Microbiology and Industrial Hygiene,6,Die Studierenden erreichen durch die Arbeit im Labor ein Verständnis für die mikrobiologische Analytik sowie praktische Kompetenz für den späteren Berufsalltag.,K,2,0.70,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1308,Zellbiologie/Zellkulturtechnik,1,Die Studierenden können zellbiologische und physiologische Prozesse verstehen und anwenden.,K,3,0.75,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1308,Zellbiologie/Zellkulturtechnik,2,Die Studierenden haben grundlegende Kenntnisse der Zellkulturtechnik erworben,K,1,0.70,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1308,Zellbiologie/Zellkulturtechnik,3,"Die Studierenden haben biochemische, molekularbiologische und zellbiologische Arbeitstechniken erlernt und können diese praktisch anwenden.",K,3,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1308,Zellbiologie/Zellkulturtechnik,4,Die Studierenden kennen molekulare Ursachen verschiedener Humanerkrankungen,K,1,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1309,Cell Biology / Cell Culture Technology,1,Die Studierenden können zellbiologische und physiologische Prozesse verstehen und anwenden.,K,3,0.80,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1309,Cell Biology / Cell Culture Technology,2,Die Studierenden haben grundlegende Kenntnisse der Zellkulturtechnik erworben,K,1,0.70,test
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1309,Cell Biology / Cell Culture Technology,3,"Die Studierenden haben biochemische, molekularbiologische und zellbiologische Arbeitstechniken erlernt und können diese praktisch anwenden.",K,3,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1309,Cell Biology / Cell Culture Technology,4,Die Studierenden kennen molekulare Ursachen verschiedener Humanerkrankungen,K,1,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1360,Grundlagen der Informatik,1,Die Studierenden kennen die Grundlagen der Informationsrepräsentation und Informationsverarbeitung.,K,1,0.90,test
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1360,Grundlagen der Informatik,2,Die Studierenden kennen wichtige Rechnerkomponenten und deren Funktionsprinzipien.,K,1,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1360,Grundlagen der Informatik,3,Die Studierenden kennen Grundprinzipien der Programmierung und des Softwareentwurfs.,K,1,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1360,Grundlagen der Informatik,4,Die Studierenden beherrschen grundlegende Programmiertechniken und haben Basiswissen über Datenstrukturen und Algorithmen.,K,1,0.70,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1360,Grundlagen der Informatik,5,Die Studierenden können elementare Algorithmen erklären und für einfache Probleme selbst entwickeln.,K,6,0.80,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1360,Grundlagen der Informatik,6,Die Studierenden verfügen über ein fundiertes Grundwissen über die Konzepte einer höheren Programmiersprache.,K,1,0.80,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1360,Grundlagen der Informatik,7,"Die Studierenden können Programmcode analysieren, Fehler identifizieren und korrigieren.",K,4,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1360,Grundlagen der Informatik,8,Die Studierenden können Programme in einer höheren Programmiersprache selbstständig entwerfen und implementieren.,K,6,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1360,Grundlagen der Informatik,9,Die Studierenden können einfache Programmieraufgaben mithilfe der Programmiersprache lösen.,K,3,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1359,Fundamentals of Computer Science,1,Die Studierenden kennen die Grundlagen der Informationsrepräsentation und Informationsverarbeitung.,K,1,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1359,Fundamentals of Computer Science,2,Die Studierenden kennen wichtige Rechnerkomponenten und deren Funktionsprinzipien.,K,1,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1359,Fundamentals of Computer Science,3,Die Studierenden kennen Grundprinzipien der Programmierung und des Softwareentwurfs.,K,1,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1359,Fundamentals of Computer Science,4,Die Studierenden beherrschen grundlegende Programmiertechniken und haben Basiswissen über Datenstrukturen und Algorithmen.,K,1,0.70,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1359,Fundamentals of Computer Science,5,Die Studierenden können elementare Algorithmen erklären und für einfache Probleme selbst entwickeln.,K,6,0.80,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1359,Fundamentals of Computer Science,6,Die Studierenden verfügen über ein fundiertes Grundwissen über die Konzepte einer höheren Programmiersprache.,K,1,0.80,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1359,Fundamentals of Computer Science,7,"Die Studierenden können Programmcode analysieren, Fehler identifizieren und korrigieren.",K,4,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1359,Fundamentals of Computer Science,8,Die Studierenden können Programme in einer höheren Programmiersprache selbstständig entwerfen und implementieren.,K,6,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1359,Fundamentals of Computer Science,9,Die Studierenden können einfache Programmieraufgaben mithilfe der Programmiersprache lösen.,K,3,0.90,test
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1379,Bioverfahrenstechnik,1,"Die Studierenden sind in der Lage, biotechnologische Reaktoren für verschiedene Anwendungen zu wählen und anhand ihrer Vor- und Nachteile zielgerichtet einzusetzen.",K,3,0.80,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1379,Bioverfahrenstechnik,2,Die Studierenden verstehen das Vorgehen beim Hochskalieren von Bioreaktoren.,K,2,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1379,Bioverfahrenstechnik,3,Die Studierenden kennen grundlegende Elemente der Steuerung und Apparatetechnik einer biotechnologischen Produktionslinie.,K,1,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1380,Bioprocess Engineering,1,"Die Studierenden sind in der Lage, biotechnologische Reaktoren für verschiedene Anwendungen zu wählen und anhand ihrer Vor- und Nachteile zielgerichtet einzusetzen.",K,3,0.80,test
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1380,Bioprocess Engineering,2,Die Studierenden verstehen das Vorgehen beim Hochskalieren von Bioreaktoren.,K,2,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1380,Bioprocess Engineering,3,Die Studierenden kennen grundlegende Elemente der Steuerung und Apparatetechnik einer biotechnologischen Produktionslinie.,K,1,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1314,Molekularbiologie und Gentechnik,1,"Die Studierenden kennen die grundlegenden Konzepte der Molekularbiologie und Gentechnik, können sie einordnen und gezielt wiedergeben.",K,2,0.80,test
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1314,Molekularbiologie und Gentechnik,2,Die Studierenden kennen klassische und moderne Methoden der Gentechnik und können sie praktisch anwenden.,K,3,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1314,Molekularbiologie und Gentechnik,3,Die Studierenden können Techniken der Molekularbiologie und Gentechnologie erläutern und deren Ergebnisse interpretieren.,K,4,0.80,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1314,Molekularbiologie und Gentechnik,4,Die Studierenden können die Chancen und Gefahren der Gentechnik differenziert beurteilen.,K,5,0.95,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1315,Molecular biology and genetic engineering,1,"Die Studierenden kennen die grundlegenden Konzepte der Molekularbiologie und Gentechnik, können sie einordnen und gezielt wiedergeben.",K,2,0.80,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1315,Molecular biology and genetic engineering,2,Die Studierenden kennen klassische und moderne Methoden der Gentechnik und können sie praktisch anwenden.,K,3,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1315,Molecular biology and genetic engineering,3,Die Studierenden können Techniken der Molekularbiologie und Gentechnologie erläutern und deren Ergebnisse interpretieren.,K,4,0.80,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1315,Molecular biology and genetic engineering,4,Die Studierenden können die Chancen und Gefahren der Gentechnik differenziert beurteilen.,K,5,0.95,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1316,Recht für Biotechnologie,1,Kennen den rechtlichen Rahmen und wichtigsten Gesetzestexte/Verordnungen für die Biotechnologie,K,1,0.85,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1316,Recht für Biotechnologie,2,"Die Studierenden können biotechnologische Arbeiten anhand der rechtlichen Rahmenbedingungen bewerten, einschätzen und durchführen.",K,5,0.85,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1316,Recht für Biotechnologie,3,Die Studierenden können Gefährdungen für Arbeitnehmer erkennen und durch geeignete Maßnahmen abwenden.,K,5,0.75,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1316,Recht für Biotechnologie,4,Die Studierenden kennen rechtliche Unterschiede bei biotechnologischen Arbeiten mit natürlichen und gentechnisch veränderten Organismen.,K,1,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1317,Law for Biotechnology,1,Kennen den rechtlichen Rahmen und wichtigsten Gesetzestexte/Verordnungen für die Biotechnologie,K,1,0.85,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1317,Law for Biotechnology,2,"Die Studierenden können biotechnologische Arbeiten anhand der rechtlichen Rahmenbedingungen bewerten, einschätzen und durchführen.",K,5,0.85,test
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1317,Law for Biotechnology,3,Die Studierenden können Gefährdungen für Arbeitnehmer erkennen und durch geeignete Maßnahmen abwenden.,K,5,0.75,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1317,Law for Biotechnology,4,Die Studierenden kennen rechtliche Unterschiede bei biotechnologischen Arbeiten mit natürlichen und gentechnisch veränderten Organismen.,K,1,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1322,Qualitätsmanagement (IBT),1,Die Studierenden sollen nach einer Einführung in das Thema Qualitätsmanagement vor allem dessen Umsetzung durch die „Good Manufacturing Practice“ (GMP) vermittelt bekommen.,S,,0.80,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1322,Qualitätsmanagement (IBT),2,"Ziel ist es, initiale Kenntnisse über GMP von der Produktentwicklung über die Produktion bis zur Marktzulassung zu erlangen",S,,0.75,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1322,Qualitätsmanagement (IBT),3,"Die Studierenden werden befähigt, eine Thematik aus dem Gebiet der Qualitätssicherung, der Zulassung bzw. der für die Herstellung von Kosmetika und Medizinprodukten maßgeblichen Regelwerke selbständig zu bearbeiten.",K,3,0.75,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1322,Qualitätsmanagement (IBT),4,"Sie werden befähigt, eine strukturierte Quellenrecherche zu betreiben.",K,3,0.80,test
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1322,Qualitätsmanagement (IBT),5,"Gemäß dem regulatorisch vorgegebenen Anspruch, ein Produkt nach dem Stand von Wissenschaft und Technik herzustellen und nach vorgegebenen Qualitätsstandards zu prüfen, erlernen sie den Stand der Wissenschaft und Technik an Hand von Originalarbeiten zu beschreiben. [Wissen, 6]",K,2,0.70,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1322,Qualitätsmanagement (IBT),6,"Die Studierenden werden befähigt, Problemstellungen klar herauszuarbeiten, die geeignete Vorgehensweise zur Problembearbeitung auszuwählen und die Auswahl zu begründen, die Daten nach strukturierten, qualitätsgesicherten Prinzipien zu sammeln, zu verdichten und zu analysieren sowie zu diskutieren.",K,5,0.80,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1322,Qualitätsmanagement (IBT),7,"Sie erlernen die Erstellung einer Zusammenfassung und die Erarbeitung von Literaturverzeichnissen. [Systemische Fertigkeiten, 6]",K,2,0.80,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1322,Qualitätsmanagement (IBT),8,"Die Thematik wird im Team bearbeitet und das erarbeitete Ergebnis präsentiert und diskutiert. [Team-/Führungsfähigkeit, 6]",S,,0.60,test
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1322,Qualitätsmanagement (IBT),9,"Die Studierenden im Bereich QM für Kosmetik und Medizinprodukte planen und organisieren eigene Arbeitsabläufe selbständig und eigenverantwortlich unter fachlichen und zeitökonomischen Gesichtspunkten. [Eigenständigkeit/Verantwortung, 6]",K,6,0.70,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1322,Qualitätsmanagement (IBT),10,Die Studierenden sind in der Lage entsprechende Dokumentationsunterlagen zu beurteilen.,K,5,0.90,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1322,Qualitätsmanagement (IBT),11,sind vertraut mit den theoretischen Grundlagen des Qualitätsmanagements und können die Verbindungen zwischen Qualitätsmanagement und GCP/GMP/GQP/GLP/GVP ziehen.,K,4,0.70,train
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),Hochschule Fulda,LT1322,Qualitätsmanagement (IBT),12,"haben einen Überblick über die Unterschiede der Qualitätsmanagementsysteme in den USA, der EU und können deren Auswirkungen auf eine Produktion in Deutschland einschätzen.",K,5,0.80,train
