studiengang,modul_id,modulname,satz_nr,satz,llm_typ,llm_taxonomie,llm_konfidenz,typ,taxonomie,kommentar
Wirtschaftsingenieurwesen (B.Sc.),ET1603,Projektmanagement,1,"Das Modul vermittelt grundlegende Kenntnisse, Fertigkeiten und Kompetenzen für die Durchführung komplexer Projekte.",S,,0.85,,,
Wirtschaftsingenieurwesen (B.Sc.),ET1603,Projektmanagement,4,"Das Modul fördert außerdem Fach-, Sozial- und Selbstkompetenzen, die für die effektive Zusammenarbeit und persönliche Entwicklung entscheidend sind.",S,,0.80,,,
Wirtschaftsingenieurwesen (B.Sc.),ET1041,Feldbusse,4,Das Modul integriert Fachkompetenzen der Digitaltechnik und der Informatik.,I,,0.90,,,
Wirtschaftsingenieurwesen (B.Sc.),ET1643,Operations Research,7,"dabei ihre Fähigkeit zu analytischem, logischem Denken zu demonstrieren",K,3,0.60,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),LT1186,Mathematik I,1,Die Studierenden werden in das mathematische Denken eingeführt.,S,,0.75,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),LT1187,Allgemeine Chemie,3,Die Studierenden sind aufgrund der Kenntnisse des stöchiometrischen Rechnens für die praktische Laborarbeit gut vorbereitet.,S,,0.65,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),LT1187,Allgemeine Chemie,4,Die Studierenden beherrschen durch die Beschäftigung mit der Chemie strukturiertes Arbeiten und logisches Denken.,K,3,0.60,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),LT1225,General Chemistry,3,Die Studierenden sind aufgrund der Kenntnisse des stöchiometrischen Rechnens für die praktische Laborarbeit gut vorbereitet.,K,3,0.50,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),LT1225,General Chemistry,4,Die Studierenden beherrschen durch die Beschäftigung mit der Chemie strukturiertes Arbeiten und logisches Denken.,K,3,0.50,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),LT1123,Grundlagen des wissenschaftlichen Arbeitens,4,Die Studierenden verfügen über Handlungs- und Problemlösungskompetenz.,K,3,0.50,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),LT1228,Principles of Scientific Research,4,Die Studierenden verfügen über Handlungs- und Problemlösungskompetenz.,K,3,0.50,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),LT1191,Mathematik II,1,Die Studierenden werden in das mathematische Denken eingeführt.,S,,0.70,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),LT1230,Mathematics II,1,Die Studierenden werden in das mathematische Denken eingeführt.,S,,0.70,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),LT1242,Thermal Process Engineering,3,Die Studierenden beherrschen die Bilanzierungen bzgl.,S,,0.70,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),LT1242,Thermal Process Engineering,4,Masse und Energie.,S,,0.90,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),LT1284,Statistics for Business Engineers,1,Die Studierenden werden in die Denkweise und die Methoden der Statistik eingeführt.,S,,0.70,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),LT1102,Verbraucher- und Marktforschung,2,"Die Studierenden erwerben detaillierte und fundierte Kenntnisse des Marktes, des Konkurrenzumfeldes und der Verbrauchermeinung, die essentiell sind, um ein Unternehmen erfolgreich am Markt zu positionieren und durch gezielte Marketingstrategien auf Wachstumskurs zu halten.",K,1,0.60,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),LT1249,Food Law,3,Die Studierenden erlangen Kompetenzen in den Entscheidungsfeldern nationaler und internationaler Geschäftstätigkeit.,K,1,0.60,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),LT1252,Internship,1,Die Studierenden orientieren sich in den verschiedenen Berufsfeldern.,K,1,0.50,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),LT1194,Lebensmitteltechnologie I,5,Die Studierenden erlangen die Grundlagen für die Beurteilung bestehender und alternativer Technologien und können sich zukünftig im Felde der Herstellungstechnologien kreativ und innovativ betätigen.,K,6,0.60,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),LT1235,Food Technology I,5,Die Studierenden erlangen die Grundlagen für die Beurteilung bestehender und alternativer Technologien und können sich zukünftig im Felde der Herstellungstechnologien kreativ und innovativ betätigen.,K,6,0.60,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),LT1197,Lebensmitteltechnologie II,2,Die Studierenden werden zu einer ganzheitlichen Betrachtungsweise komplexer Vorgänge befähigt.,K,2,0.60,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),LT1197,Lebensmitteltechnologie II,2,Die Studierenden werden zu einer ganzheitlichen Betrachtungsweise komplexer Vorgänge befähigt.,K,2,0.60,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),LT1239,Food Hygiene,7,"Sie üben, ihr gemeinsames Handeln zu koordinieren und organisieren, und werden sich alternativer Beitragsmöglichkeiten zu tragfähigen Lösungen bewusst.",K,3,0.65,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),LT1322,Qualitätsmanagement (IBT),1,Die Studierenden sollen nach einer Einführung in das Thema Qualitätsmanagement vor allem dessen Umsetzung durch die „Good Manufacturing Practice“ (GMP) vermittelt bekommen.,S,,0.80,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),LT1322,Qualitätsmanagement (IBT),2,"Ziel ist es, initiale Kenntnisse über GMP von der Produktentwicklung über die Produktion bis zur Marktzulassung zu erlangen",S,,0.75,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),LT1322,Qualitätsmanagement (IBT),8,"Die Thematik wird im Team bearbeitet und das erarbeitete Ergebnis präsentiert und diskutiert. [Team-/Führungsfähigkeit, 6]",S,,0.60,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),LT1323,Quality Management (IBT),8,"Die Thematik wird im Team bearbeitet und das erarbeitete Ergebnis präsentiert und diskutiert. [Team-/Führungsfähigkeit, 6]",S,,0.60,,,
Wirtschaftsingenieurwesen Life Sciences (B.Sc.),LT1323,Quality Management (IBT),10,Die Studierenden sind in der Lage entsprechende Dokumentationsunterlagen zu beurteilen.,K,5,0.90,,,
Wirtschaftsingenieurwesen (M.Sc.),ET5131,Data Science,5,Die Bearbeitung von Projektaufgaben einzeln und im Team erfordert die Anwendung früher erworbenen Fachkenntnisse und Erschließung neuer Sachverhalte im Sinne des forschenden Lernens.,I,,0.60,,,
Wirtschaftsingenieurwesen (M.Sc.),ET5131,Data Science,6,Kommunikative Fähigkeiten werden durch die Vorstellung von Arbeitsergebnissen vor den Kursmitgliedern erworben.,I,,0.60,,,
Wirtschaftsingenieurwesen (M.Sc.),ET5101,Laboratory for ERP and MES systems,8,"Sie entwickeln Führungskompetenz im Spannungsfeld von Ökonomie, Recht und Ethik bei unternehmerischen Entscheidungen.",K,6,0.60,,,
Wirtschaftsingenieurwesen (M.Sc.),ET5100,Production management,3,Die Studierenden vertiefen ihre Schlüsselqualifikationen hinsichtlich interkultureller Kommunikation.,K,3,0.60,,,
Wirtschaftsingenieurwesen (M.Sc.),ET5100,Production management,4,Sie lernen Kommunikationsmodelle kennen und bauen ihre persönliche interkulturelle Kompetenz aus.,K,1,0.60,,,
