nr,hochschule,modulname,satz,val_typ,val_taxonomie,val_qualitaet,val_kommentar
273,TU Darmstadt,Fortgeschrittenes Praktikum Visual Computing,"Nach dem erfolgreichen Abschluss des Praktikums sind die Studierenden dazu in der Lage, selbständig ein fortgeschrittenes Problem aus dem Bereich des Visual Computings zu analysieren, zu lösen und die Ergebnisse zu bewerten. [cite: 53]",K,3;4;5,gut,
274,TU Darmstadt,Advanced User Interfaces,"Studierende haben einen Einblick in die Prinzipien und Methoden zum Entwurf und zur Entwicklung multimedialer, kollaborativer und adaptiver Benutzungsschnittstellen anhand einer praktischen Anwendung unter Berücksichtigung verschiedener Kontextbedingungen bekommen. [cite: 53]",K,2,gut,
275,TU Darmstadt,Praktikum System and IoT Security,"Außerdem erwerben sie generelle Erfahrung in Systemprogrammierung. [cite: 53]",K,3,akzeptabel,
276,TU Darmstadt,Projektpraktikum Programmierung Massiv Paralleler Systeme,"Hierzu können sie aktuelle Techniken analysieren, modifizieren und anwenden. [cite: 53]",K,3;4,akzeptabel,
277,TU Darmstadt,"Praktikum: Formale Spezifikation und Verifikation in Isabelle/HOL","Sie können in Isabelle/HOL sowohl eigenständig als auch im Team formale Modelle von Systemen und Eigenschaften konstruieren und Aussagen beweisen. [cite: 54]",K,3;5;6,gut,
278,TU Darmstadt,Softwareprojekt Datenanalyse für natürliche Sprache,"Nachdem Studierende die Veranstaltung besucht haben, können sie [cite: 54]",S,,,schlecht,Einleitungssatz
279,TU Darmstadt,1.1.3. Hardware-Entwurf für die Videoverarbeitung,"Sie können die entstehenden Systeme evaluieren und aus den beobachteten Charakteristika Rückschlüsse für die weitere Entwicklung ziehen. [cite: 55]",K,4;5,gut,
280,TU Darmstadt,Distributed Systems Programming: Praktikum,"Je nach ausgewähltem Thema erlernen Studierende folgende Kompetenzen: Entwurf komplexer DS Methodische Analyse und Auswertung von:  Modellen      Experimenten Software Entwurf von Programmiersprachen Schreiben von technischen Dokumenten oder Projektberichten Erstellen und vortragen eines Abschlussvortrages Voraussetzung für die Teilnahme Empfohlen: Interesse am Erarbeiten von Lösungsvorschlägen für herausfordernde Probleme im Bereich DS, eigenverantwortliches Arbeiten und ein großes Interesse an aktuellen Forschungsthemen. [cite: 55]",I,,,schlecht,Tabelle/Listenartefakt
281,TU Darmstadt,Agile Software Engineering Projekt,"Training von ""Soft Skills""; insbesondere Teamarbeit und Präsentationsfähigkeiten [cite: 55]",I,,,schlecht,Inhaltsbeschreibung
282,TU Darmstadt,Cybersecurity Lab,"Am Ende des Kurses werden die Studierenden gute Kenntnisse in Netzwerksicherheit, und speziell auf den Gebieten der durch sie bearbeitenden Projekte, erlangen. [cite: 56]",K,1,gut,
283,TU Darmstadt,"Praktikum Friedens-, Sicherheits- und Kriseninformatik","Die Fähigkeit eine praktische Aufgabe ggf. im Team erfolgreich nach Vorgabe zu bearbeiten und deren Ergebnisse angemessen zu präsentieren. [cite: 57]",K,3,akzeptabel,Substantivierung
284,TU Darmstadt,Projektpraktikum Friedens- und Kriseninformatik,"Die Fähigkeit eine praktische Aufgabe ggf. im Team erfolgreich nach Vorgabe zu bearbeiten und deren Ergebnisse angemessen zu präsentieren. [cite: 58]",K,3,akzeptabel,Substantivierung
285,TU Darmstadt,Projektpraktikum Friedens- und Kriseninformatik,"Evaluation und Weiterentwicklung bestehender Anwendungen [cite: 58]",S,,,schlecht,Fragment
286,TU Darmstadt,Projektpraktikum Algorithmik,"Die Studierenden können hierzu eigenständig ein Projekt definieren, verwalten und durchführen. [cite: 58]",K,6,gut,
287,TU Darmstadt,Data Management - Praktikum,"Nach Beendigung der Veranstaltung haben Studierende folgende Lernziele erreicht: [cite: 58]",S,,,schlecht,Einleitungssatz
288,TU Darmstadt,Praktikum Security Engineering,"Ziel dieses Praktikums ist die Ausweitung von Programmierkentnissen sowie die Partizipation in Forschungsprojekten. [cite: 58]",I,,,schlecht,Zielformulierung Passiv
289,TU Darmstadt,Praktikum Seitenkanalanalyse,"das Ausmaß der Gefahr durch Seitenkanalschwachstellen einschätzen können, [cite: 58]",K,5,akzeptabel,Infinitiv
290,TU Darmstadt,Praktikum Seitenkanalanalyse,"fähig sein, Seitenkanalangriffe gegen kryptographische Implementierungen auszuführen, um geheime Informationen zu extrahieren und [cite: 58]",K,3,akzeptabel,Infinitiv
291,TU Darmstadt,Forschungsmethodik in der Kryptographie,"Verfassen von wissenschaftlichen Arbeiten in der Kryptographie [cite: 58]",S,,,schlecht,Fragment
292,TU Darmstadt,Algorithmen zum Graphendesign,"können sie ästhetischer Fragestellungen als Probleme algorithmischer Natur modellieren [cite: 59]",K,3,akzeptabel,Fragment
293,TU Darmstadt,Grundlagen der Computersicherheit,"Nach erfolgreicher Teilnahme an diesem Seminar werden die Studierenden fähig sein aktuelle Entwicklungen in den Grundlagen der Computersicherheit mit Bezug zu formalen Methoden zu diskutieren. [cite: 59]",K,2,gut,
294,TU Darmstadt,Seitenkanalresistente Kryptographie,"Sicherheitsmodelle in der Leakage Resilient Kryptographie und formale Sicherheitsanalysen von Gegenmaßnahmen für Seitenkanalangriffe [cite: 59]",S,,,schlecht,Fragment
295,TU Darmstadt,Aktuelle Themen aus dem Bereich Concurrency Theory,"Nach erfolgreicher Teilnahme haben Studierende eine Vorstellung von den aktuell bearbeiteten Themen im Bereich Concurrency Theory. [cite: 59]",K,2,gut,
296,TU Darmstadt,Humanoide Robotik,"Am Ende dieses Kurses verstehen die Studierenden aktuelle Forschungsthemen der humanoiden Robotik und können: [cite: 59]",K,2,gut,
297,TU Darmstadt,Humanoide Robotik,"sich anhand von wissenschaftlichen Publikationen selbstständig in ein Themengebiet einarbeiten und [cite: 59]",K,3,akzeptabel,Infinitiv
298,TU Darmstadt,Praktikum in der Lehre - Software Engineering,"Nachdem Studierende die Veranstaltung besucht haben, können Sie [cite: 60]",S,,,schlecht,Einleitungssatz
299,TU Darmstadt,Praktikum in der Lehre - Einführung in die Kryptographie,"Lehrinhalte in Übungen zu präsentieren und zu erklären [cite: 60]",K,2;3,akzeptabel,Infinitiv
300,TU Darmstadt,Praktikum in der Lehre - Technische Informatik,"Sie können Studierende in direktem persönlichen Kontakt, aber auch über elektronische Kommunikationsmedien anleiten und betreuen. [cite: 60]",K,3,gut,
