studiengang,modul_id,modulname,satz_nr,satz,typ,taxonomie,konfidenz,split
Industrielle Biotechnologie (B.Sc.),LT1323,Quality Management (IBT),2,"Ziel ist es, initiale Kenntnisse über GMP von der Produktentwicklung über die Produktion bis zur Marktzulassung zu erlangen",S,,0.70,train
Industrielle Biotechnologie (B.Sc.),LT1323,Quality Management (IBT),3,"Die Studierenden werden befähigt, eine Thematik aus dem Gebiet der Qualitätssicherung, der Zulassung bzw. der für die Herstellung von Kosmetika und Medizinprodukten maßgeblichen Regelwerke selbständig zu bearbeiten.",K,3,0.70,train
Industrielle Biotechnologie (B.Sc.),LT1323,Quality Management (IBT),4,"Sie werden befähigt, eine strukturierte Quellenrecherche zu betreiben.",K,3,0.80,test
Industrielle Biotechnologie (B.Sc.),LT1323,Quality Management (IBT),5,"Gemäß dem regulatorisch vorgegebenen Anspruch, ein Produkt nach dem Stand von Wissenschaft und Technik herzustellen und nach vorgegebenen Qualitätsstandards zu prüfen, erlernen sie den Stand der Wissenschaft und Technik an Hand von Originalarbeiten zu beschreiben. [Wissen, 6]",K,2,0.70,train
Industrielle Biotechnologie (B.Sc.),LT1323,Quality Management (IBT),6,"Die Studierenden werden befähigt, Problemstellungen klar herauszuarbeiten, die geeignete Vorgehensweise zur Problembearbeitung auszuwählen und die Auswahl zu begründen, die Daten nach strukturierten, qualitätsgesicherten Prinzipien zu sammeln, zu verdichten und zu analysieren sowie zu diskutieren.",K,4,0.80,test
Industrielle Biotechnologie (B.Sc.),LT1323,Quality Management (IBT),7,"Sie erlernen die Erstellung einer Zusammenfassung und die Erarbeitung von Literaturverzeichnissen. [Systemische Fertigkeiten, 6]",K,2,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1323,Quality Management (IBT),8,"Die Thematik wird im Team bearbeitet und das erarbeitete Ergebnis präsentiert und diskutiert. [Team-/Führungsfähigkeit, 6]",K,2,0.60,test
Industrielle Biotechnologie (B.Sc.),LT1323,Quality Management (IBT),9,"Die Studierenden im Bereich QM für Kosmetik und Medizinprodukte planen und organisieren eigene Arbeitsabläufe selbständig und eigenverantwortlich unter fachlichen und zeitökonomischen Gesichtspunkten. [Eigenständigkeit/Verantwortung, 6]",K,6,0.70,train
Industrielle Biotechnologie (B.Sc.),LT1323,Quality Management (IBT),10,Die Studierenden sind in der Lage entsprechende Dokumentationsunterlagen zu beurteilen.,K,5,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1323,Quality Management (IBT),11,sind vertraut mit den theoretischen Grundlagen des Qualitätsmanagements und können die Verbindungen zwischen Qualitätsmanagement und GCP/GMP/GQP/GLP/GVP ziehen.,K,4,0.70,test
Industrielle Biotechnologie (B.Sc.),LT1323,Quality Management (IBT),12,"haben einen Überblick über die Unterschiede der Qualitätsmanagementsysteme in den USA, der EU und können deren Auswirkungen auf eine Produktion in Deutschland einschätzen.",K,5,0.85,train
Industrielle Biotechnologie (B.Sc.),LT1038,Praxisphase,1,Die Studierenden orientieren sich in den verschiedenen Berufsfeldern.,K,1,0.60,train
Industrielle Biotechnologie (B.Sc.),LT1038,Praxisphase,2,Die Studierenden können die im Studium erworbenen Fach- und Methodenkenntnisse in der Praxisinstitution anwenden und festigen.,K,3,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1038,Praxisphase,3,Die Studierenden verstehen den Aufbau und Ablauf der Praxisinstitution.,K,2,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1038,Praxisphase,4,Die Studierenden können sich innerhalb kurzer Zeit in komplexe Aufgaben und Unternehmenskulturen einarbeiten.,K,3,0.70,train
Industrielle Biotechnologie (B.Sc.),LT1252,Internship,1,Die Studierenden orientieren sich in den verschiedenen Berufsfeldern.,K,1,0.60,train
Industrielle Biotechnologie (B.Sc.),LT1252,Internship,2,Die Studierenden können die im Studium erworbenen Fach- und Methodenkenntnisse in der Praxisinstitution anwenden und festigen.,K,3,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1252,Internship,3,Die Studierenden verstehen den Aufbau und Ablauf der Praxisinstitution.,K,2,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1252,Internship,4,Die Studierenden können sich innerhalb kurzer Zeit in komplexe Aufgaben und Unternehmenskulturen einarbeiten.,K,3,0.70,train
Industrielle Biotechnologie (B.Sc.),LT1324,Abschlussmodul (Bachelor-Thesis),1,"Die Studierenden sind in der Lage, innerhalb einer vorgegebenen Frist ein bestimmtes, abgegrenztes Problem aus dem Kontext ihres Studiums nach wissenschaftlichen Prinzipien weitgehend selbstständig zu untersuchen.",K,4,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1324,Abschlussmodul (Bachelor-Thesis),2,Die Studierenden können die Ergebnisse logisch und übersichtlich geordnet in Form einer wissenschaftlichen Arbeit schriftlich dokumentieren (Bachelor Thesis) und mit geeigneten multimedialen Hilfsmitteln mündlich darstellen und vertreten (Kolloquium).,K,2,0.75,train
Industrielle Biotechnologie (B.Sc.),LT1325,Thesis Module,1,"Die Studierenden sind in der Lage, innerhalb einer vorgegebenen Frist ein bestimmtes, abgegrenztes Problem aus dem Kontext ihres Studiums nach wissenschaftlichen Prinzipien weitgehend selbstständig zu untersuchen.",K,4,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1325,Thesis Module,2,Die Studierenden können die Ergebnisse logisch und übersichtlich geordnet in Form einer wissenschaftlichen Arbeit schriftlich dokumentieren (Bachelor Thesis) und mit geeigneten multimedialen Hilfsmitteln mündlich darstellen und vertreten (Kolloquium).,K,2,0.75,train
Industrielle Biotechnologie (B.Sc.),LT1024,Grundlagen und Physiologie der Ernährung,1,Die Studierenden kennen,S,,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1024,Grundlagen und Physiologie der Ernährung,2,die Bedeutung von Nährstoffen in Lebensmitteln für die menschliche Ernährung.,S,,0.80,test
Industrielle Biotechnologie (B.Sc.),LT1024,Grundlagen und Physiologie der Ernährung,3,"die Zusammensetzung von Lebensmitteln und sind so in der Lage, die Bedeutung von Lebensmitteln als Nährstofflieferanten und die Bedeutung für die Entstehung ernährungsabhängiger Erkrankungen einzuschätzen.",K,5,0.85,train
Industrielle Biotechnologie (B.Sc.),LT1241,Basic Principles and Physiology of Nutrition,1,Die Studierenden kennen,S,,0.90,test
Industrielle Biotechnologie (B.Sc.),LT1241,Basic Principles and Physiology of Nutrition,2,die Bedeutung von Nährstoffen in Lebensmitteln für die menschliche Ernährung.,S,,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1241,Basic Principles and Physiology of Nutrition,3,"die Zusammensetzung von Lebensmitteln und sind so in der Lage, die Bedeutung von Lebensmitteln als Nährstofflieferanten und die Bedeutung für die Entstehung ernährungsabhängiger Erkrankungen einzuschätzen.",K,5,0.85,train
Industrielle Biotechnologie (B.Sc.),LT1042,Immunologie und spezifische Lebensmittelapplikationen,1,Die Studierenden kennen grundlegende Mechanismen der Immunologie sowie der mikrobiologischen Pathophysiologie und können diese in Bezug zu spezifischen Lebensmittelkomponenten und spezifischen Applikationsformen setzen.,K,4,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1042,Immunologie und spezifische Lebensmittelapplikationen,2,Die Studierenden können Strategien zu den wissenschaftlichen Auslobungen im Markt und Aspekte der Produktzulassung bewerten und erstellen.,K,6,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1042,Immunologie und spezifische Lebensmittelapplikationen,3,Die Studierenden kennen die unmittelbare Verknüpfung funktioneller Lebensmittelkomponenten mit der Biotechnologie und Molekularbiologie und können diese bewerten.,K,5,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1254,Immunology and Specific Food Applications,1,Die Studierenden kennen grundlegende Mechanismen der Immunologie sowie der mikrobiologischen Pathophysiologie und können diese in Bezug zu spezifischen Lebensmittelkomponenten und spezifischen Applikationsformen setzen.,K,3,0.70,train
Industrielle Biotechnologie (B.Sc.),LT1254,Immunology and Specific Food Applications,2,Die Studierenden können Strategien zu den wissenschaftlichen Auslobungen im Markt und Aspekte der Produktzulassung bewerten und erstellen.,K,6,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1254,Immunology and Specific Food Applications,3,Die Studierenden kennen die unmittelbare Verknüpfung funktioneller Lebensmittelkomponenten mit der Biotechnologie und Molekularbiologie und können diese bewerten.,K,5,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1047,Trocknungstechnik,1,Die Studierenden verfügen über ein Grundverständnis von Trocknungsprozessen.,K,2,0.70,test
Industrielle Biotechnologie (B.Sc.),LT1047,Trocknungstechnik,2,Die Studierenden sind mit apparativen Grundlösungen vertraut.,K,1,0.60,train
Industrielle Biotechnologie (B.Sc.),LT1047,Trocknungstechnik,3,Die Studierenden sind in der Lage einfache Trocknungsanlagen zu berechnen und auszulegen.,K,3,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1047,Trocknungstechnik,4,Die Studierenden verstehen prinzipielle Zusammenhänge der Betriebsparameter bei Trocknungsverfahren.,K,2,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1255,Drying Technology,1,Die Studierenden verfügen über ein Grundverständnis von Trocknungsprozessen.,K,2,0.70,train
Industrielle Biotechnologie (B.Sc.),LT1255,Drying Technology,2,Die Studierenden sind mit apparativen Grundlösungen vertraut.,K,1,0.60,test
Industrielle Biotechnologie (B.Sc.),LT1255,Drying Technology,3,Die Studierenden sind in der Lage einfache Trocknungsanlagen zu berechnen und auszulegen.,K,3,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1255,Drying Technology,4,Die Studierenden verstehen prinzipielle Zusammenhänge der Betriebsparameter bei Trocknungsverfahren.,K,2,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1048,Anlagentechnik und Hygienic Design,1,Die Studierenden verstehen die grundsätzliche Vorgehensweise bei der Planung und Entwicklung von Anlagen für die Herstellung sensibler Produkte (z.B. für aseptische und nicht aseptische Produktion) und deren Komponenten.,K,2,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1048,Anlagentechnik und Hygienic Design,2,Die Studierenden sind durch die Kenntnis hygienischer Voraussetzung zum Verstehen und Beurteilen der hygienegerechten Gestaltung von Komponenten und Anlagen zur Herstellung sensibler Produkte befähigt.,K,5,0.80,test
Industrielle Biotechnologie (B.Sc.),LT1256,Systems Engineering and Hygienic Design,1,Die Studierenden verstehen die grundsätzliche Vorgehensweise bei der Planung und Entwicklung von Anlagen für die Herstellung sensibler Produkte (z.B. für aseptische und nicht aseptische Produktion) und deren Komponenten.,K,2,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1256,Systems Engineering and Hygienic Design,2,Die Studierenden sind durch die Kenntnis hygienischer Voraussetzung zum Verstehen und Beurteilen der hygienegerechten Gestaltung von Komponenten und Anlagen zur Herstellung sensibler Produkte befähigt.,K,5,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1049,Industrieanlagen & Facility Management,1,"Die Studierenden verstehen die Grundlagen der Anlagenplanung und das nötige Zusammenspiel zwischen Verfahrenstechnik, Energietechnik, Versorgungstechnik, Produktionstechnik, Maschinenbau und Elektrotechnik und Infrastruktur.",K,2,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1049,Industrieanlagen & Facility Management,2,Die Studierenden können Planungsvarianten und deren Bedeutung bei der Realisierung erfassen.,K,4,0.70,train
Industrielle Biotechnologie (B.Sc.),LT1049,Industrieanlagen & Facility Management,3,"Die Studierenden sind in der Lage, Planungsvarianten unter dem Aspekt der Funktionalität zu prüfen.",K,5,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1049,Industrieanlagen & Facility Management,4,Die Studierenden vertiefen die Anwendung für die Praxis anhand von Beispielen und Übungsprojekten in weitgehend selbstständiger Arbeitsweise.,K,3,0.70,train
Industrielle Biotechnologie (B.Sc.),LT1049,Industrieanlagen & Facility Management,5,Die Studierenden können die Planung kritisch beurteilen und konstruktiv darauf einwirken.,K,5,0.90,test
Industrielle Biotechnologie (B.Sc.),LT1257,Industrial Plants and Facility Management,1,"Die Studierenden verstehen die Grundlagen der Anlagenplanung und das nötige Zusammenspiel zwischen Verfahrenstechnik, Energietechnik, Versorgungstechnik, Produktionstechnik, Maschinenbau und Elektrotechnik und Infrastruktur.",K,2,0.80,test
Industrielle Biotechnologie (B.Sc.),LT1257,Industrial Plants and Facility Management,2,Die Studierenden können Planungsvarianten und deren Bedeutung bei der Realisierung erfassen.,K,4,0.70,train
Industrielle Biotechnologie (B.Sc.),LT1257,Industrial Plants and Facility Management,3,"Die Studierenden sind in der Lage, Planungsvarianten unter dem Aspekt der Funktionalität zu prüfen.",K,5,0.80,test
Industrielle Biotechnologie (B.Sc.),LT1257,Industrial Plants and Facility Management,4,Die Studierenden vertiefen die Anwendung für die Praxis anhand von Beispielen und Übungsprojekten in weitgehend selbstständiger Arbeitsweise.,K,3,0.60,train
Industrielle Biotechnologie (B.Sc.),LT1257,Industrial Plants and Facility Management,5,Die Studierenden können die Planung kritisch beurteilen und konstruktiv darauf einwirken.,K,5,0.90,test
Industrielle Biotechnologie (B.Sc.),LT1377,Lebensmittelbiotechnologie,1,Die Studierenden kennen grundlegende Anwendungen der Biotechnologie in der Lebensmittelherstellung.,K,1,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1377,Lebensmittelbiotechnologie,2,Die Studierenden verstehen das besondere Potential biotechnologischer Prozesse bei der Verarbeitung von Lebensmitteln.,K,2,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1377,Lebensmittelbiotechnologie,3,"Die Studierenden sind in der Lage, biotechnologische Prozesse im Bereich der Lebensmittelherstellung zu planen und umzusetzen.",K,6,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1378,Food Biotechnology,1,Die Studierenden kennen grundlegende Anwendungen der Biotechnologie in der Lebensmittelherstellung.,K,1,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1378,Food Biotechnology,2,Die Studierenden verstehen das besondere Potential biotechnologischer Prozesse bei der Verarbeitung von Lebensmitteln.,K,2,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1378,Food Biotechnology,3,"Die Studierenden sind in der Lage, biotechnologische Prozesse im Bereich der Lebensmittelherstellung zu planen und umzusetzen.",K,6,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1051,Einführung in die Arzneiformenlehre und Pharmakologie,1,Die Studierenden kennen die grundlegenden Arzneiformen.,K,1,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1051,Einführung in die Arzneiformenlehre und Pharmakologie,2,Die Studierenden beherrschen die Herstellungsschritte für die grundlegenden Arzneiformen und deren Anwendung.,K,3,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1051,Einführung in die Arzneiformenlehre und Pharmakologie,3,Die Studierenden verfügen über Kenntnisse der grundlegenden pharmazeutischen Arbeitsweisen und Prozesse.,K,1,0.70,train
Industrielle Biotechnologie (B.Sc.),LT1051,Einführung in die Arzneiformenlehre und Pharmakologie,4,Die Studierenden entwickeln ein grundlegendes Verständnis für die Prinzipien der Pharmakologie.,K,2,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1051,Einführung in die Arzneiformenlehre und Pharmakologie,5,Die Studierenden erkennen den Zusammenhang zwischen Pharmakologie und Arzneiform.,K,4,0.80,test
Industrielle Biotechnologie (B.Sc.),LT1273,Fundamentals of Pharmaceutics and Pharmacology,1,Die Studierenden kennen die grundlegenden Arzneiformen.,K,1,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1273,Fundamentals of Pharmaceutics and Pharmacology,2,Die Studierenden beherrschen die Herstellungsschritte für die grundlegenden Arzneiformen und deren Anwendung.,K,3,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1273,Fundamentals of Pharmaceutics and Pharmacology,3,Die Studierenden verfügen über Kenntnisse der grundlegenden pharmazeutischen Arbeitsweisen und Prozesse.,K,1,0.70,test
Industrielle Biotechnologie (B.Sc.),LT1273,Fundamentals of Pharmaceutics and Pharmacology,4,Die Studierenden entwickeln ein grundlegendes Verständnis für die Prinzipien der Pharmakologie.,K,2,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1273,Fundamentals of Pharmaceutics and Pharmacology,5,Die Studierenden erkennen den Zusammenhang zwischen Pharmakologie und Arzneiform.,K,4,0.80,test
Industrielle Biotechnologie (B.Sc.),LT1052,Produktentwicklung,1,Die Studierenden sollen die theoretischen Grundlagen im Prozess der Produktentwicklung von Lebensmitteln sowie die wichtigsten Aspekte der Produktentwicklung kennen.,K,1,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1052,Produktentwicklung,2,"Die Studierenden erlangen Kenntnisse zur Ideenfindung, Planung und Durchführung einer Produktentwicklung am Beispiel eines Lebensmittels.",K,1,0.70,train
Industrielle Biotechnologie (B.Sc.),LT1052,Produktentwicklung,3,"Die Studierenden sind in der Lage, diese Kenntnisse in Teamarbeit in die Praxis umzusetzen.",K,3,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1052,Produktentwicklung,4,Die Studierenden können die entsprechenden Prozesse und Aufgaben in den Rahmen des Innovationsmanagements einordnen.,K,4,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1259,Product Development,1,Die Studierenden sollen die theoretischen Grundlagen im Prozess der Produktentwicklung von Lebensmitteln sowie die wichtigsten Aspekte der Produktentwicklung kennen.,K,1,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1259,Product Development,2,"Die Studierenden erlangen Kenntnisse zur Ideenfindung, Planung und Durchführung einer Produktentwicklung am Beispiel eines Lebensmittels.",K,1,0.70,train
Industrielle Biotechnologie (B.Sc.),LT1259,Product Development,3,"Die Studierenden sind in der Lage, diese Kenntnisse in Teamarbeit in die Praxis umzusetzen.",K,3,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1259,Product Development,4,Die Studierenden können die entsprechenden Prozesse und Aufgaben in den Rahmen des Innovationsmanagements einordnen.,K,4,0.85,train
Industrielle Biotechnologie (B.Sc.),LT1054,Umwelttechnik und Umweltrecht,1,"Die Studierenden wissen um die Bedeutung der Umwelt, Umwelttechnik für die Lebensmittelherstellung.",K,2,0.70,test
Industrielle Biotechnologie (B.Sc.),LT1054,Umwelttechnik und Umweltrecht,2,"Die Studierenden können auf der Basis intensiv behandelter Umweltschutzverfahren selbstständig industrielle Anlagen und Lösungskonzepte verstehen, beurteilen und in Grundzügen entwickeln.",K,6,0.85,train
Industrielle Biotechnologie (B.Sc.),LT1054,Umwelttechnik und Umweltrecht,3,Die Studierenden kennen die Grundlagen der regenerativen Energieerzeugung.,K,1,0.90,test
Industrielle Biotechnologie (B.Sc.),LT1054,Umwelttechnik und Umweltrecht,4,Die Studierenden kennen und verstehen die rechtlichen Grundlagen.,K,2,0.85,train
Industrielle Biotechnologie (B.Sc.),LT1054,Umwelttechnik und Umweltrecht,5,Die Studierenden können einfache rechtliche und technische Problemstellungen bewerten und schwierige Problemstellungen mit Fachleuten erörtern.,K,5,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1260,Environmental Technology and Law,1,"Die Studierenden wissen um die Bedeutung der Umwelt, Umwelttechnik für die Lebensmittelherstellung.",K,2,0.70,train
Industrielle Biotechnologie (B.Sc.),LT1260,Environmental Technology and Law,2,"Die Studierenden können auf der Basis intensiv behandelter Umweltschutzverfahren selbstständig industrielle Anlagen und Lösungskonzepte verstehen, beurteilen und in Grundzügen entwickeln.",K,6,0.85,train
Industrielle Biotechnologie (B.Sc.),LT1260,Environmental Technology and Law,3,Die Studierenden kennen die Grundlagen der regenerativen Energieerzeugung.,K,1,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1260,Environmental Technology and Law,4,Die Studierenden kennen und verstehen die rechtlichen Grundlagen.,K,2,0.85,train
Industrielle Biotechnologie (B.Sc.),LT1260,Environmental Technology and Law,5,Die Studierenden können einfache rechtliche und technische Problemstellungen bewerten und schwierige Problemstellungen mit Fachleuten erörtern.,K,5,0.90,test
Industrielle Biotechnologie (B.Sc.),LT1200,Kostenmanagement/Controlling,1,Die Studierenden verstehen die Aufgabe und Funktionsweise des Controllings und können dies in Beziehung zum Rechnungswesen setzen,K,3,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1200,Kostenmanagement/Controlling,2,Die Studierenden können situationsbezogen Controllinginstrumente zur Entscheidungsunterstützung in Unternehmen auswählen und einsetzen,K,3,0.85,train
Industrielle Biotechnologie (B.Sc.),LT1200,Kostenmanagement/Controlling,3,"Die Studierenden verstehen den Aufbau der Kosten- und Erlösrechnung, insbesondere die verschiedenen Teilrechnungen",K,2,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1200,Kostenmanagement/Controlling,4,Die Studierenden können kostenbasierte Entscheidungen in praxisbezogenen Anwendungssituationen treffen.,K,5,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1200,Kostenmanagement/Controlling,5,Die Studierenden analysieren Kosten- und Erlösstrukturen anhand praxisbezogener Fallbeispiele,K,4,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1200,Kostenmanagement/Controlling,6,Die Studierenden kennen aktuelle Weiterentwicklungen des Kostenmanagements und des Controllings,K,1,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1267,Cost Accounting/Managerial Accounting,1,Die Studierenden verstehen die Aufgabe und Funktionsweise des Controllings und können dies in Beziehung zum Rechnungswesen setzen,K,3,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1267,Cost Accounting/Managerial Accounting,2,Die Studierenden können situationsbezogen Controllinginstrumente zur Entscheidungsunterstützung in Unternehmen auswählen und einsetzen,K,3,0.85,train
Industrielle Biotechnologie (B.Sc.),LT1267,Cost Accounting/Managerial Accounting,3,"Die Studierenden verstehen den Aufbau der Kosten- und Erlösrechnung, insbesondere die verschiedenen Teilrechnungen",K,2,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1267,Cost Accounting/Managerial Accounting,4,Die Studierenden können kostenbasierte Entscheidungen in praxisbezogenen Anwendungssituationen treffen.,K,5,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1267,Cost Accounting/Managerial Accounting,5,Die Studierenden analysieren Kosten- und Erlösstrukturen anhand praxisbezogener Fallbeispiele,K,4,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1267,Cost Accounting/Managerial Accounting,6,Die Studierenden kennen aktuelle Weiterentwicklungen des Kostenmanagements und des Controllings,K,1,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1043,Pharmazeutische Technologie,1,Die Studierenden können technische und naturwissenschaftliche Grundlagen der pharmazeutischen Technologie verstehen und anwenden.,K,3,0.85,train
Industrielle Biotechnologie (B.Sc.),LT1043,Pharmazeutische Technologie,2,"Die Studierenden können Prozessschritte und Abläufe bei der Entwicklung, Herstellung und Prüfung von Arzneimitteln erkennen, erklären und anwenden.",K,3,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1043,Pharmazeutische Technologie,3,Die Studierenden können pharmazeutische Vorgangsweisen und Prozesse überblicken.,K,2,0.60,train
Industrielle Biotechnologie (B.Sc.),LT1043,Pharmazeutische Technologie,4,Die Studierenden sind zu selbstständiger Arbeit in der Formulierungsentwicklung und der Herstellung sowie Prüfung von Arzneimitteln befähigt.,K,3,0.60,train
Industrielle Biotechnologie (B.Sc.),LT1263,Pharmaceutical Technology,1,Die Studierenden können technische und naturwissenschaftliche Grundlagen der pharmazeutischen Technologie verstehen und anwenden.,K,3,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1263,Pharmaceutical Technology,2,"Die Studierenden können Prozessschritte und Abläufe bei der Entwicklung, Herstellung und Prüfung von Arzneimitteln erkennen, erklären und anwenden.",K,3,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1263,Pharmaceutical Technology,3,Die Studierenden können pharmazeutische Vorgangsweisen und Prozesse überblicken.,K,2,0.60,train
Industrielle Biotechnologie (B.Sc.),LT1263,Pharmaceutical Technology,4,Die Studierenden sind zu selbstständiger Arbeit in der Formulierungsentwicklung und der Herstellung sowie Prüfung von Arzneimitteln befähigt.,K,3,0.60,test
Industrielle Biotechnologie (B.Sc.),LT1082,Kälte- und Wärmetechnik,1,Die Studierenden verfügen über ein Grundverständnis von wärme- und kältetechnischen Prozessen.,K,2,0.70,train
Industrielle Biotechnologie (B.Sc.),LT1082,Kälte- und Wärmetechnik,2,Die Studierenden kennen die apparativen Grundoperationen und können diese anwenden.,K,3,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1082,Kälte- und Wärmetechnik,3,Die Studierenden sind in der Lage einfache wärme- und kältetechnische Anlagen zu berechnen und auszulegen.,K,3,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1082,Kälte- und Wärmetechnik,4,Die Studierenden verstehen prinzipielle Zusammenhänge der Betriebsparameter bei wärme- und kältetechnischen Verfahren.,K,2,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1266,Refrigeration Technology and Thermal Processing,1,Die Studierenden verfügen über ein Grundverständnis von wärme- und kältetechnischen Prozessen.,K,2,0.70,train
Industrielle Biotechnologie (B.Sc.),LT1266,Refrigeration Technology and Thermal Processing,2,Die Studierenden kennen die apparativen Grundoperationen und können diese anwenden.,K,3,0.80,train
Industrielle Biotechnologie (B.Sc.),LT1266,Refrigeration Technology and Thermal Processing,3,Die Studierenden sind in der Lage einfache wärme- und kältetechnische Anlagen zu berechnen und auszulegen.,K,3,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1266,Refrigeration Technology and Thermal Processing,4,Die Studierenden verstehen prinzipielle Zusammenhänge der Betriebsparameter bei wärme- und kältetechnischen Verfahren.,K,2,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1381,Umweltbiotechnologie,1,Die Studierenden kennen grundlegende Anwendungen im Bereich der grauen Biotechnologie.,K,1,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1381,Umweltbiotechnologie,2,Die Studierenden verstehen das besondere Potential biotechnologischer Prozesse im Bereich einer effizienten Ressourcennutzung und des Umweltschutzes.,K,2,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1381,Umweltbiotechnologie,3,"Die Studierenden sind in der Lage, Prozesse im Bereich der grauen Biotechnologie zu planen und umzusetzen.",K,6,0.70,train
Industrielle Biotechnologie (B.Sc.),LT1382,Environmental Biotechnology,1,Die Studierenden kennen grundlegende Anwendungen im Bereich der grauen Biotechnologie.,K,1,0.90,test
Industrielle Biotechnologie (B.Sc.),LT1382,Environmental Biotechnology,2,Die Studierenden verstehen das besondere Potential biotechnologischer Prozesse im Bereich einer effizienten Ressourcennutzung und des Umweltschutzes.,K,2,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1382,Environmental Biotechnology,3,"Die Studierenden sind in der Lage, Prozesse im Bereich der grauen Biotechnologie zu planen und umzusetzen.",K,6,0.70,train
Industrielle Biotechnologie (B.Sc.),LT1383,Synthetische Biologie,1,Die Studierenden kennen die Grundlagen und Methoden der synthetischen Biologie.,K,1,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1383,Synthetische Biologie,2,Die Studierenden können das Potenzial der synthetischen Biologie für verschiedene Bereiche der Biotechnologie einschätzen und kritisch bewerten.,K,5,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1384,Synthetic biology,1,Die Studierenden kennen die Grundlagen und Methoden der synthetischen Biologie.,K,1,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1384,Synthetic biology,2,Die Studierenden können das Potenzial der synthetischen Biologie für verschiedene Bereiche der Biotechnologie einschätzen und kritisch bewerten.,K,5,0.90,train
Industrielle Biotechnologie (B.Sc.),LT1055,Lebensmitteltechnologie unter Betonung ernährungsphysi-,1,Die Studierenden haben Kenntnisse zu Veränderungen von Nährstoffen bei der Verarbeitung von Lebensmitteln.,K,1,0.80,train
